onset	duration	trial_type	value
2.0	1.863	nontarget	12
5.989	1.48	target	11
8.673	1.953	target	11
12.75	1.716	target	11
17.12	1.089	nontarget	12
19.619	0.933	nontarget	12
22.655	1.447	target	11
25.621	1.099	target	11
28.768	1.187	nontarget	12
31.003	1.764	nontarget	12
34.824	1.39	nontarget	12
38.588	0.911	target	11
41.681	0.879	nontarget	12
45.379	1.711	nontarget	12
49.272	1.698	target	11
53.754	1.659	target	11
57.339	1.477	target	11
60.782	1.482	nontarget	12
65.048	1.614	target	11
68.624	1.338	target	11
71.237	1.275	target	11
74.158	1.519	nontarget	12
77.194	1.932	nontarget	12
80.276	0.838	target	11
82.21	0.987	nontarget	12
84.648	0.819	target	11
86.821	0.82	nontarget	12
88.963	0.871	nontarget	12
