onset	duration	trial_type	value
2.0	1.599	nontarget	12
5.477	1.773	target	11
8.329	1.583	target	11
11.806	1.212	nontarget	12
15.423	0.701	nontarget	12
18.957	0.674	nontarget	12
20.637	1.063	target	11
24.29	0.653	nontarget	12
26.25	0.992	nontarget	12
29.992	1.269	target	11
33.914	1.882	target	11
37.937	1.681	nontarget	12
41.643	0.791	target	11
43.896	0.899	nontarget	12
46.481	1.928	target	11
49.831	0.599	nontarget	12
53.41	0.507	target	11
56.45	1.692	target	11
59.371	0.963	target	11
61.786	1.04	target	11
