onset	duration	trial_type	value
2.0	1.901	incongruent	32
5.201	1.16	incongruent	32
8.57	1.333	congruent	31
12.418	1.935	incongruent	32
16.17	1.76	incongruent	32
19.57	0.585	congruent	31
21.225	1.681	incongruent	32
24.767	0.966	congruent	31
27.829	1.375	congruent	31
30.765	1.688	congruent	31
34.499	1.022	congruent	31
36.693	1.294	congruent	31
40.791	1.209	congruent	31
43.239	0.793	incongruent	32
46.096	1.733	incongruent	32
50.556	1.178	congruent	31
53.339	1.468	incongruent	32
57.449	1.274	congruent	31
60.689	1.697	congruent	31
64.142	1.119	congruent	31
67.579	1.424	incongruent	32
71.509	1.65	incongruent	32
74.573	1.164	congruent	31
77.958	0.599	incongruent	32
80.6	1.053	congruent	31
82.798	1.935	congruent	31
