onset	duration	trial_type	value
2.0	1.826	nogo	22
6.111	0.941	nogo	22
9.969	0.723	nogo	22
12.41	1.968	nogo	22
16.187	1.692	go	21
19.949	1.051	nogo	22
23.101	0.881	nogo	22
25.557	1.542	go	21
28.883	1.437	go	21
32.32	0.736	go	21
35.669	1.383	go	21
38.686	1.804	nogo	22
42.967	1.461	nogo	22
46.952	1.728	go	21
50.008	1.468	nogo	22
52.914	0.746	go	21
56.418	0.607	nogo	22
58.964	0.624	go	21
61.668	1.896	nogo	22
64.724	1.464	nogo	22
67.327	1.168	nogo	22
71.017	1.749	go	21
75.56	0.994	go	21
79.097	0.768	nogo	22
81.244	1.81	nogo	22
