onset	duration	trial_type	value
2.0	0.875	nontarget	12
5.239	0.85	nontarget	12
7.972	1.446	nontarget	12
10.429	1.017	nontarget	12
14.0	1.34	nontarget	12
16.466	1.511	target	11
20.852	1.152	nontarget	12
24.633	0.852	target	11
28.342	0.99	target	11
30.38	1.643	target	11
33.34	1.926	nontarget	12
37.246	1.578	nontarget	12
41.367	0.893	target	11
43.551	1.251	nontarget	12
46.398	0.505	nontarget	12
49.032	1.031	target	11
52.335	1.191	target	11
55.986	0.596	nontarget	12
58.882	1.789	nontarget	12
63.137	1.257	nontarget	12
66.264	0.566	nontarget	12
69.309	1.834	target	11
73.266	1.883	nontarget	12
76.721	0.785	target	11
78.583	1.879	target	11
82.117	1.236	target	11
84.384	1.185	target	11
