onset	duration	trial_type	value
2.0	0.889	nontarget	12
5.812	1.001	nontarget	12
8.137	1.363	target	11
11.018	1.866	target	11
15.86	1.613	nontarget	12
19.049	0.608	target	11
21.543	1.604	target	11
25.524	0.802	target	11
29.019	0.717	target	11
32.17	1.665	nontarget	12
36.007	1.761	target	11
40.74	1.092	nontarget	12
44.715	1.745	nontarget	12
49.124	1.292	target	11
52.217	1.376	target	11
55.609	1.818	target	11
58.92	0.995	target	11
62.593	1.828	nontarget	12
66.581	1.138	nontarget	12
69.537	0.556	target	11
72.091	0.981	target	11
75.023	1.284	target	11
77.88	0.561	target	11
81.249	1.6	nontarget	12
