onset	duration	trial_type	value
2.0	1.946	nogo	22
6.451	0.754	nogo	22
8.429	0.753	go	21
11.474	1.553	go	21
15.964	0.636	nogo	22
18.556	1.716	nogo	22
21.528	1.632	go	21
24.349	0.873	nogo	22
27.133	0.88	nogo	22
29.578	1.767	nogo	22
32.468	0.697	nogo	22
35.308	0.776	nogo	22
38.541	0.781	nogo	22
41.304	0.592	nogo	22
43.675	1.03	nogo	22
45.833	1.999	nogo	22
49.722	1.456	go	21
54.079	0.913	nogo	22
56.636	1.215	nogo	22
59.561	1.13	go	21
62.723	0.535	go	21
65.239	1.477	nogo	22
68.379	1.32	go	21
72.353	0.647	nogo	22
