onset	duration	trial_type	value
2.0	1.21	nogo	22
5.017	1.472	nogo	22
9.38	0.844	nogo	22
12.954	0.906	go	21
15.796	1.386	go	21
19.02	1.507	go	21
21.586	1.355	go	21
24.39	1.845	nogo	22
28.761	1.203	go	21
31.577	1.207	go	21
34.795	1.504	nogo	22
38.833	0.992	go	21
42.716	0.892	nogo	22
45.771	1.74	nogo	22
50.156	1.05	go	21
53.304	1.57	go	21
56.039	1.153	go	21
58.255	1.183	go	21
60.707	0.55	nogo	22
63.823	1.509	nogo	22
66.571	0.884	go	21
70.354	1.183	nogo	22
73.479	0.562	nogo	22
75.972	1.552	go	21
80.456	1.898	nogo	22
