onset	duration	trial_type	value
2.0	1.286	recall_start	42
5.769	1.284	recall_start	42
10.049	0.971	recall_start	42
13.618	0.974	sequence_presentation	41
16.936	0.946	sequence_presentation	41
19.565	1.879	recall_start	42
24.318	1.999	recall_start	42
28.473	0.924	recall_start	42
31.628	1.726	sequence_presentation	41
36.299	1.941	sequence_presentation	41
40.763	1.975	recall_start	42
44.895	1.901	sequence_presentation	41
49.793	1.597	sequence_presentation	41
54.279	0.562	sequence_presentation	41
56.119	0.675	recall_start	42
58.004	0.731	sequence_presentation	41
59.837	1.986	recall_start	42
63.207	1.95	sequence_presentation	41
67.942	0.758	recall_start	42
71.565	0.593	sequence_presentation	41
73.436	1.555	sequence_presentation	41
77.607	0.876	sequence_presentation	41
79.809	1.261	sequence_presentation	41
82.419	1.062	recall_start	42
84.646	0.503	sequence_presentation	41
87.052	1.649	sequence_presentation	41
89.842	0.628	sequence_presentation	41
93.148	0.97	recall_start	42
95.227	1.14	recall_start	42
97.486	1.41	sequence_presentation	41
