onset	duration	trial_type	value
2.0	1.489	cue_right	52
4.628	1.598	cue_left	51
7.315	0.575	cue_left	51
9.57	1.377	cue_right	52
12.155	0.827	cue_right	52
15.521	1.546	cue_left	51
19.325	1.984	cue_right	52
22.965	1.103	cue_right	52
25.919	1.861	cue_right	52
30.15	1.169	cue_right	52
32.619	1.137	cue_right	52
34.786	1.082	cue_left	51
38.181	1.537	cue_right	52
42.227	1.627	cue_left	51
45.1	0.576	cue_left	51
47.168	1.412	cue_right	52
49.609	0.795	cue_left	51
51.767	0.609	cue_right	52
54.496	1.078	cue_left	51
58.514	1.658	cue_left	51
