onset	duration	trial_type	value
2.0	1.81	target	11
5.565	1.191	target	11
9.424	1.638	nontarget	12
12.629	1.467	target	11
15.612	1.068	target	11
19.164	1.758	target	11
23.029	1.473	target	11
26.038	1.983	target	11
30.045	0.978	nontarget	12
33.189	0.645	nontarget	12
34.961	1.878	nontarget	12
38.265	0.905	target	11
40.735	1.054	target	11
43.83	1.694	target	11
47.809	1.195	nontarget	12
51.676	1.999	nontarget	12
55.424	0.692	nontarget	12
58.676	1.702	target	11
62.598	0.793	nontarget	12
66.241	1.903	target	11
