onset	duration	trial_type	value
2.0	1.243	recall_start	42
5.111	0.782	sequence_presentation	41
8.336	1.68	recall_start	42
11.631	1.141	recall_start	42
14.596	0.707	recall_start	42
17.09	0.862	sequence_presentation	41
20.459	1.564	recall_start	42
23.902	1.222	sequence_presentation	41
27.02	1.504	recall_start	42
31.069	1.025	recall_start	42
33.934	1.34	recall_start	42
37.957	0.683	sequence_presentation	41
41.404	1.803	sequence_presentation	41
46.107	1.205	recall_start	42
49.939	1.951	recall_start	42
53.046	1.009	sequence_presentation	41
55.189	1.276	sequence_presentation	41
58.169	1.364	recall_start	42
61.666	1.942	recall_start	42
65.398	1.861	sequence_presentation	41
68.278	1.548	recall_start	42
72.506	0.626	sequence_presentation	41
75.523	1.509	sequence_presentation	41
79.817	1.213	recall_start	42
83.306	0.633	sequence_presentation	41
85.771	1.467	sequence_presentation	41
88.744	0.967	sequence_presentation	41
92.527	1.666	sequence_presentation	41
