onset	duration	trial_type	value
2.0	1.397	incongruent	32
4.853	0.536	congruent	31
7.562	1.213	incongruent	32
11.462	0.979	incongruent	32
15.234	0.674	incongruent	32
17.151	1.664	incongruent	32
20.278	1.72	incongruent	32
24.913	1.213	congruent	31
28.954	1.821	congruent	31
31.929	1.118	congruent	31
34.787	0.523	incongruent	32
38.3	1.053	incongruent	32
41.31	1.791	congruent	31
44.546	1.73	incongruent	32
48.544	1.271	incongruent	32
52.088	1.052	congruent	31
54.383	0.526	incongruent	32
56.657	0.727	incongruent	32
60.28	0.579	congruent	31
63.257	1.858	congruent	31
66.281	1.543	congruent	31
70.359	1.558	congruent	31
73.961	1.428	incongruent	32
76.626	0.988	incongruent	32
79.85	0.616	incongruent	32
