onset	duration	trial_type	value
2.0	1.395	nontarget	12
5.779	0.912	target	11
9.334	1.027	nontarget	12
11.711	1.048	target	11
14.412	1.971	nontarget	12
18.037	1.192	target	11
21.312	1.622	nontarget	12
25.307	1.798	nontarget	12
29.925	1.861	nontarget	12
33.658	1.851	target	11
38.321	0.64	nontarget	12
41.154	1.917	target	11
45.414	1.786	target	11
48.925	1.416	target	11
53.201	0.747	nontarget	12
55.742	1.026	target	11
57.777	1.077	nontarget	12
61.577	1.799	target	11
64.996	0.592	target	11
66.727	1.095	target	11
