onset	duration	trial_type	value
2.0	0.693	target	11
5.221	1.332	nontarget	12
8.881	1.841	nontarget	12
12.299	0.642	nontarget	12
14.309	1.994	nontarget	12
17.825	0.646	target	11
20.365	1.847	nontarget	12
23.395	1.669	target	11
26.094	1.296	nontarget	12
29.272	0.612	target	11
32.839	1.414	target	11
36.471	1.327	target	11
40.451	1.902	nontarget	12
44.144	1.197	target	11
48.013	1.654	target	11
50.908	1.691	nontarget	12
53.994	1.42	target	11
56.415	1.351	nontarget	12
58.836	1.219	target	11
61.881	0.541	nontarget	12
65.136	1.949	nontarget	12
69.394	1.86	target	11
72.279	1.546	target	11
75.672	1.705	nontarget	12
80.025	1.508	nontarget	12
83.476	0.657	nontarget	12
