onset	duration	trial_type	value
2.0	1.009	cue_left	51
5.951	0.923	cue_left	51
7.913	0.575	cue_left	51
11.301	1.908	cue_left	51
14.408	0.631	cue_left	51
16.823	1.937	cue_right	52
19.918	0.907	cue_right	52
22.681	0.736	cue_left	51
24.953	0.514	cue_right	52
27.324	1.644	cue_right	52
30.305	1.577	cue_right	52
33.508	1.344	cue_left	51
36.537	1.205	cue_right	52
40.492	1.246	cue_right	52
44.05	1.661	cue_left	51
46.984	0.556	cue_left	51
49.377	1.843	cue_right	52
52.658	1.71	cue_left	51
56.926	1.167	cue_right	52
59.455	1.167	cue_right	52
62.219	1.346	cue_right	52
64.787	0.618	cue_left	51
66.538	0.933	cue_left	51
69.162	0.856	cue_left	51
71.787	1.868	cue_left	51
