onset	duration	trial_type	value
2.0	1.168	recall_start	42
5.02	0.789	sequence_presentation	41
8.163	1.914	recall_start	42
12.781	1.349	recall_start	42
15.149	1.194	sequence_presentation	41
18.25	1.059	recall_start	42
21.601	1.604	recall_start	42
26.019	1.303	recall_start	42
29.2	0.84	sequence_presentation	41
31.847	1.582	sequence_presentation	41
34.862	1.403	sequence_presentation	41
39.162	0.777	recall_start	42
41.293	0.939	sequence_presentation	41
44.675	0.994	recall_start	42
47.364	0.756	recall_start	42
50.45	1.122	sequence_presentation	41
53.01	1.057	recall_start	42
55.595	0.71	sequence_presentation	41
57.365	0.775	recall_start	42
60.463	1.173	sequence_presentation	41
64.613	1.19	sequence_presentation	41
67.497	0.583	sequence_presentation	41
70.308	0.825	sequence_presentation	41
72.317	1.052	sequence_presentation	41
76.193	1.945	sequence_presentation	41
80.757	1.783	sequence_presentation	41
