onset	duration	trial_type	value
2.0	0.642	recall_start	42
4.007	1.965	sequence_presentation	41
8.409	1.711	sequence_presentation	41
11.742	1.566	recall_start	42
15.788	1.627	recall_start	42
19.05	1.081	sequence_presentation	41
22.649	0.742	sequence_presentation	41
25.62	0.986	recall_start	42
28.898	1.446	recall_start	42
33.174	0.803	recall_start	42
36.157	1.882	sequence_presentation	41
39.142	1.834	recall_start	42
43.079	0.893	recall_start	42
46.449	1.189	recall_start	42
49.672	0.575	sequence_presentation	41
52.73	1.028	sequence_presentation	41
56.304	1.246	recall_start	42
59.578	1.729	sequence_presentation	41
63.749	0.894	sequence_presentation	41
65.776	1.285	sequence_presentation	41
69.786	0.91	sequence_presentation	41
72.876	0.952	recall_start	42
75.732	1.161	recall_start	42
79.125	0.957	sequence_presentation	41
82.197	1.821	recall_start	42
