onset	duration	trial_type	value
2.0	0.811	nontarget	12
5.385	1.366	target	11
7.99	0.591	target	11
9.864	1.649	nontarget	12
12.925	1.592	nontarget	12
15.706	0.986	nontarget	12
19.633	0.942	target	11
22.698	1.118	target	11
25.028	0.984	target	11
28.449	1.463	nontarget	12
31.985	1.912	target	11
35.4	1.049	nontarget	12
37.946	0.988	nontarget	12
40.907	1.772	nontarget	12
43.851	1.042	target	11
46.575	0.755	nontarget	12
48.724	1.856	nontarget	12
51.621	1.698	target	11
55.682	1.51	target	11
59.358	1.151	target	11
62.677	1.439	target	11
66.315	1.501	target	11
70.228	1.392	nontarget	12
73.95	0.789	target	11
