onset	duration	trial_type	value
2.0	1.229	nontarget	12
5.928	1.807	target	11
8.75	1.523	nontarget	12
12.242	1.996	nontarget	12
15.248	1.656	nontarget	12
19.892	0.638	nontarget	12
21.889	0.971	target	11
25.342	0.62	nontarget	12
27.874	1.721	target	11
30.993	1.041	target	11
33.729	1.03	target	11
37.201	1.773	target	11
41.648	0.78	nontarget	12
44.762	1.014	nontarget	12
47.34	1.126	target	11
51.401	1.478	target	11
54.387	0.892	target	11
57.307	1.921	target	11
62.157	1.243	nontarget	12
64.801	1.098	nontarget	12
