onset	duration	trial_type	value
2.0	1.107	nontarget	12
5.113	1.347	target	11
9.151	1.198	nontarget	12
12.56	1.251	nontarget	12
15.146	0.743	target	11
18.109	1.944	target	11
21.782	1.544	target	11
24.936	1.917	target	11
27.884	1.918	target	11
31.011	0.907	nontarget	12
33.704	0.909	target	11
36.998	1.669	target	11
39.925	1.95	target	11
42.877	0.838	nontarget	12
46.42	1.669	nontarget	12
49.914	0.707	nontarget	12
52.432	1.269	nontarget	12
56.107	1.194	target	11
59.76	1.913	nontarget	12
63.627	0.766	target	11
65.615	1.343	nontarget	12
69.178	0.701	nontarget	12
71.09	1.515	nontarget	12
74.72	1.112	target	11
78.219	1.915	nontarget	12
81.557	1.274	nontarget	12
85.811	1.487	nontarget	12
