onset	duration	trial_type	value
2.0	0.814	go	21
5.478	1.236	go	21
8.911	0.618	nogo	22
11.446	1.253	go	21
15.537	1.657	nogo	22
19.889	1.432	go	21
22.648	1.616	go	21
25.677	1.886	go	21
28.889	0.755	go	21
31.977	1.859	nogo	22
36.175	1.545	go	21
39.089	1.094	go	21
42.893	1.154	go	21
46.45	1.07	go	21
49.096	1.922	go	21
53.715	1.93	go	21
58.535	1.18	go	21
60.995	1.22	nogo	22
64.482	0.737	go	21
66.475	1.827	go	21
70.003	1.216	go	21
74.122	1.448	go	21
78.051	1.118	go	21
80.348	0.581	go	21
83.738	0.632	nogo	22
85.826	1.412	go	21
89.463	1.91	nogo	22
92.984	0.514	go	21
96.022	0.686	go	21
98.08	1.246	nogo	22
