onset	duration	trial_type	value
2.0	0.513	cue_right	52
4.443	0.986	cue_right	52
7.854	1.169	cue_left	51
11.352	0.686	cue_right	52
14.144	1.451	cue_left	51
16.625	1.542	cue_left	51
19.409	0.571	cue_left	51
21.786	1.911	cue_left	51
26.132	0.576	cue_right	52
28.019	1.396	cue_left	51
31.541	1.619	cue_left	51
35.659	0.595	cue_right	52
37.593	1.428	cue_left	51
41.126	1.441	cue_left	51
44.408	0.583	cue_right	52
47.521	1.9	cue_right	52
51.499	1.185	cue_left	51
53.863	1.356	cue_right	52
57.613	1.286	cue_left	51
61.837	1.507	cue_left	51
66.146	1.804	cue_left	51
69.685	1.202	cue_right	52
72.437	1.03	cue_left	51
75.264	0.915	cue_right	52
