onset	duration	trial_type	value
2.0	0.876	nontarget	12
4.071	0.565	nontarget	12
6.325	1.126	target	11
9.447	0.688	nontarget	12
12.023	1.355	target	11
15.158	1.712	nontarget	12
18.288	0.918	target	11
20.309	1.121	nontarget	12
22.95	1.745	nontarget	12
27.413	0.567	target	11
30.029	0.689	target	11
31.943	1.426	nontarget	12
34.793	1.168	nontarget	12
38.793	1.648	nontarget	12
42.815	0.862	target	11
46.337	1.568	nontarget	12
50.515	1.223	nontarget	12
54.529	0.576	nontarget	12
57.813	1.583	nontarget	12
61.749	0.626	target	11
64.687	1.098	target	11
