onset	duration	trial_type	value
2.0	1.239	congruent	31
5.657	0.817	congruent	31
8.385	1.594	congruent	31
12.367	1.042	incongruent	32
16.35	0.574	incongruent	32
19.679	0.85	incongruent	32
22.191	0.821	congruent	31
25.058	1.153	congruent	31
28.786	0.823	incongruent	32
31.937	1.331	congruent	31
34.896	1.311	incongruent	32
38.291	1.756	incongruent	32
42.888	1.87	incongruent	32
47.497	1.244	incongruent	32
50.649	1.062	incongruent	32
53.816	0.862	incongruent	32
56.849	0.803	incongruent	32
58.938	0.884	congruent	31
61.424	1.049	congruent	31
