onset	duration	trial_type	value
2.0	1.901	nontarget	12
6.641	1.971	nontarget	12
9.824	0.84	nontarget	12
12.816	0.957	nontarget	12
14.871	1.84	target	11
18.261	0.817	nontarget	12
20.872	1.451	nontarget	12
23.978	0.538	nontarget	12
26.401	1.487	target	11
30.834	1.201	target	11
34.416	0.88	target	11
38.173	1.646	target	11
42.182	0.954	target	11
44.904	1.655	nontarget	12
47.572	1.993	nontarget	12
52.543	0.781	nontarget	12
54.586	0.793	target	11
57.345	0.887	target	11
60.083	1.572	target	11
63.156	1.369	nontarget	12
66.461	0.744	nontarget	12
69.707	0.595	nontarget	12
72.301	1.371	target	11
75.811	1.655	nontarget	12
