onset	duration	trial_type	value
2.0	1.181	target	11
5.23	0.6	target	11
7.204	0.795	nontarget	12
9.663	1.072	target	11
13.056	0.598	target	11
15.711	0.801	nontarget	12
19.073	0.695	target	11
22.416	1.717	nontarget	12
26.231	1.49	target	11
30.241	1.733	nontarget	12
33.369	1.361	nontarget	12
36.052	0.602	target	11
38.316	0.513	target	11
41.117	1.439	nontarget	12
44.434	1.213	nontarget	12
46.652	0.961	nontarget	12
49.238	1.628	target	11
51.99	0.84	target	11
55.168	1.806	nontarget	12
58.542	0.783	target	11
60.534	0.808	nontarget	12
63.779	0.935	target	11
67.586	0.692	nontarget	12
70.492	1.779	nontarget	12
