onset	duration	trial_type	value
2.0	1.529	target	11
5.49	1.786	nontarget	12
9.696	1.636	nontarget	12
14.306	1.553	nontarget	12
17.868	1.588	nontarget	12
20.711	0.689	target	11
23.025	0.513	target	11
25.833	1.386	target	11
28.704	1.295	nontarget	12
31.961	1.161	nontarget	12
35.925	1.076	target	11
38.459	0.679	target	11
42.025	1.124	target	11
44.678	1.087	target	11
47.028	1.636	target	11
49.665	1.549	nontarget	12
52.878	0.536	target	11
54.504	1.448	nontarget	12
57.53	0.721	target	11
59.599	1.356	target	11
63.793	1.329	nontarget	12
67.036	1.273	target	11
69.775	1.117	target	11
71.917	1.386	target	11
74.613	1.534	target	11
78.503	1.231	nontarget	12
81.264	1.193	nontarget	12
84.287	0.654	nontarget	12
86.218	1.081	target	11
89.162	1.984	target	11
