onset	duration	trial_type	value
2.0	1.293	cue_right	52
4.429	0.923	cue_right	52
7.636	0.656	cue_left	51
9.924	0.846	cue_left	51
12.555	0.938	cue_right	52
15.41	0.901	cue_right	52
18.526	1.335	cue_right	52
21.263	1.401	cue_right	52
24.379	1.107	cue_left	51
27.407	1.985	cue_right	52
32.077	1.194	cue_right	52
35.95	1.499	cue_right	52
39.607	1.658	cue_left	51
42.602	1.178	cue_right	52
45.353	1.039	cue_left	51
48.645	1.525	cue_left	51
51.263	1.567	cue_left	51
53.836	1.105	cue_right	52
56.782	1.784	cue_left	51
61.246	0.81	cue_right	52
