onset	duration	trial_type	value
2.0	0.738	congruent	31
5.478	1.569	congruent	31
9.066	1.537	incongruent	32
12.66	1.591	congruent	31
16.879	0.525	incongruent	32
20.088	0.584	incongruent	32
23.163	1.997	incongruent	32
27.494	1.761	congruent	31
30.391	1.962	congruent	31
35.057	1.7	congruent	31
39.651	0.822	incongruent	32
43.146	1.052	incongruent	32
46.89	1.074	incongruent	32
49.57	1.515	incongruent	32
53.623	1.809	congruent	31
57.203	0.733	congruent	31
59.487	0.688	incongruent	32
61.368	1.201	congruent	31
