onset	duration	trial_type	value
2.0	1.406	incongruent	32
6.257	0.92	incongruent	32
8.582	1.877	incongruent	32
11.519	1.237	incongruent	32
14.675	1.751	incongruent	32
18.401	0.821	congruent	31
22.187	0.644	congruent	31
24.662	0.943	incongruent	32
27.47	1.967	congruent	31
31.573	1.939	congruent	31
36.475	1.301	congruent	31
40.339	1.117	congruent	31
43.11	1.662	incongruent	32
47.219	1.656	congruent	31
51.292	1.132	incongruent	32
54.546	1.769	congruent	31
58.393	1.966	incongruent	32
62.753	1.655	incongruent	32
66.889	1.03	congruent	31
69.14	0.755	incongruent	32
71.898	1.207	incongruent	32
75.656	0.698	congruent	31
77.929	0.528	incongruent	32
80.973	1.717	congruent	31
83.963	1.948	congruent	31
87.702	1.099	incongruent	32
90.912	1.135	incongruent	32
93.878	1.378	congruent	31
96.628	1.213	incongruent	32
99.457	0.745	incongruent	32
