onset	duration	trial_type	value
2.0	0.93	nogo	22
5.885	0.9	go	21
8.119	1.474	nogo	22
12.185	0.575	go	21
14.872	0.965	nogo	22
18.335	0.549	nogo	22
20.604	0.961	nogo	22
22.623	0.95	nogo	22
25.748	1.3	go	21
28.391	1.711	nogo	22
32.938	1.88	go	21
37.651	0.561	nogo	22
41.118	1.713	go	21
44.572	1.521	go	21
49.027	1.521	nogo	22
52.849	1.761	nogo	22
55.698	0.854	go	21
59.067	1.702	go	21
62.092	1.92	go	21
66.404	1.594	go	21
69.36	1.616	nogo	22
72.539	1.571	nogo	22
75.127	1.652	nogo	22
78.681	1.454	nogo	22
81.606	0.837	nogo	22
83.975	0.64	nogo	22
87.5	1.897	nogo	22
91.193	0.769	nogo	22
93.621	1.07	nogo	22
