onset	duration	trial_type	value
2.0	0.515	nontarget	12
4.11	0.679	target	11
6.144	1.286	target	11
9.097	0.705	nontarget	12
11.44	0.633	nontarget	12
13.531	1.733	target	11
16.325	1.868	target	11
19.921	1.73	nontarget	12
23.014	1.58	target	11
27.288	1.376	target	11
29.768	0.796	target	11
33.082	1.859	nontarget	12
37.553	0.683	target	11
40.561	1.218	nontarget	12
43.915	0.94	nontarget	12
46.777	0.854	target	11
48.886	0.542	nontarget	12
51.39	1.164	nontarget	12
53.684	1.388	target	11
57.546	1.954	target	11
