onset	duration	trial_type	value
2.0	1.148	nontarget	12
5.131	1.989	nontarget	12
9.147	1.566	target	11
12.776	1.196	target	11
16.863	1.608	target	11
20.968	1.748	nontarget	12
25.612	0.823	target	11
28.956	0.783	nontarget	12
31.54	0.885	nontarget	12
35.229	0.553	target	11
38.447	0.515	nontarget	12
40.577	1.112	nontarget	12
44.218	1.422	target	11
47.836	1.172	nontarget	12
50.679	0.7	target	11
53.447	1.745	nontarget	12
56.719	1.86	target	11
60.13	0.694	target	11
63.755	0.684	nontarget	12
65.492	0.788	nontarget	12
67.356	0.847	nontarget	12
70.84	1.822	nontarget	12
75.332	1.259	nontarget	12
78.851	0.92	target	11
82.594	1.083	nontarget	12
84.906	1.942	nontarget	12
