onset	duration	trial_type	value
2.0	1.651	cue_right	52
6.406	1.293	cue_right	52
9.178	1.615	cue_right	52
13.637	1.722	cue_right	52
16.375	1.424	cue_left	51
18.955	0.902	cue_left	51
22.343	1.72	cue_left	51
25.331	0.952	cue_right	52
28.767	1.892	cue_left	51
32.574	0.7	cue_left	51
35.163	1.459	cue_left	51
38.327	1.438	cue_right	52
42.36	1.088	cue_left	51
46.057	0.611	cue_left	51
49.045	1.117	cue_right	52
52.51	1.129	cue_right	52
54.673	0.961	cue_left	51
58.365	0.723	cue_left	51
61.675	0.506	cue_right	52
65.129	1.702	cue_right	52
69.496	1.12	cue_right	52
73.557	0.688	cue_left	51
75.644	1.877	cue_left	51
79.043	1.055	cue_left	51
81.477	1.827	cue_right	52
84.431	1.112	cue_right	52
87.837	1.096	cue_right	52
89.935	1.395	cue_right	52
93.852	1.349	cue_right	52
97.038	0.774	cue_right	52
