onset	duration	trial_type	value
2.0	1.475	nontarget	12
4.92	1.757	target	11
8.815	1.902	nontarget	12
12.457	0.587	target	11
15.597	0.511	nontarget	12
17.353	1.347	nontarget	12
21.614	0.872	target	11
24.496	1.27	target	11
27.027	0.963	nontarget	12
29.75	0.563	target	11
32.046	0.508	target	11
34.728	1.665	target	11
38.803	1.2	nontarget	12
42.87	1.325	target	11
45.636	1.804	nontarget	12
49.145	0.676	target	11
51.153	1.277	nontarget	12
53.955	1.778	target	11
57.257	0.802	nontarget	12
60.931	0.955	target	11
64.225	1.716	nontarget	12
68.86	1.033	target	11
72.738	1.787	nontarget	12
77.322	1.211	target	11
80.029	1.547	nontarget	12
82.657	1.521	target	11
87.154	1.105	target	11
90.69	1.577	target	11
94.75	1.131	nontarget	12
