onset	duration	trial_type	value
2.0	1.117	incongruent	32
6.079	0.523	congruent	31
8.642	0.874	congruent	31
10.668	0.608	congruent	31
12.338	1.595	congruent	31
15.211	1.312	incongruent	32
19.184	0.711	congruent	31
22.036	1.869	incongruent	32
25.317	0.885	congruent	31
27.879	1.228	incongruent	32
31.761	0.709	congruent	31
33.896	1.936	congruent	31
38.443	1.416	incongruent	32
41.688	1.206	incongruent	32
45.602	0.684	congruent	31
48.348	0.797	incongruent	32
51.856	0.566	incongruent	32
53.599	1.95	congruent	31
58.538	1.31	incongruent	32
60.94	1.104	congruent	31
63.16	0.595	incongruent	32
66.029	1.551	congruent	31
