onset	duration	trial_type	value
2.0	1.541	nontarget	12
6.168	1.97	target	11
10.996	1.278	nontarget	12
15.147	0.522	nontarget	12
18.044	0.844	target	11
20.883	1.372	nontarget	12
23.836	0.791	target	11
26.713	1.918	target	11
30.81	1.54	target	11
33.97	0.916	nontarget	12
36.709	1.507	nontarget	12
40.799	1.641	target	11
45.203	1.983	target	11
48.55	0.976	target	11
52.124	1.662	target	11
56.278	1.871	nontarget	12
59.456	1.918	target	11
62.496	0.651	target	11
65.014	1.158	nontarget	12
68.73	1.907	nontarget	12
71.856	1.648	target	11
76.391	1.602	target	11
79.768	1.521	target	11
83.563	1.591	nontarget	12
86.85	1.376	target	11
90.077	1.757	nontarget	12
92.915	0.787	target	11
96.481	1.673	target	11
