onset	duration	trial_type	value
2.0	1.375	congruent	31
4.625	1.314	congruent	31
8.504	0.781	congruent	31
12.282	1.085	incongruent	32
16.209	1.836	congruent	31
20.565	0.726	congruent	31
22.86	1.714	incongruent	32
27.137	0.767	incongruent	32
29.659	1.067	congruent	31
32.099	1.976	incongruent	32
36.147	0.66	congruent	31
39.627	1.243	incongruent	32
43.323	1.006	congruent	31
47.077	1.876	incongruent	32
50.556	1.371	incongruent	32
53.485	1.473	congruent	31
57.108	1.505	incongruent	32
61.124	0.687	incongruent	32
62.847	0.626	congruent	31
65.329	1.187	incongruent	32
67.541	1.891	congruent	31
71.64	0.671	incongruent	32
75.114	1.337	congruent	31
78.127	1.078	congruent	31
