onset	duration	trial_type	value
2.0	1.833	nontarget	12
6.37	0.647	nontarget	12
9.877	1.025	target	11
12.849	1.582	target	11
16.937	0.8	nontarget	12
19.323	1.545	nontarget	12
23.481	1.429	nontarget	12
26.99	0.675	nontarget	12
30.603	1.023	target	11
33.256	1.69	target	11
37.695	1.118	nontarget	12
41.554	1.306	target	11
44.717	0.752	nontarget	12
47.674	1.009	nontarget	12
49.753	1.494	nontarget	12
52.507	1.285	target	11
56.572	1.119	target	11
60.264	0.943	target	11
63.306	0.683	target	11
66.634	1.895	nontarget	12
70.458	1.617	nontarget	12
73.755	1.697	nontarget	12
78.311	1.918	target	11
82.9	1.14	target	11
86.042	1.625	target	11
