onset	duration	trial_type	value
2.0	0.7	target	11
4.028	1.549	nontarget	12
7.244	0.619	nontarget	12
9.487	1.362	target	11
13.17	1.355	nontarget	12
16.975	0.526	target	11
20.31	1.753	target	11
25.004	0.76	nontarget	12
28.032	0.737	target	11
30.908	1.847	target	11
34.05	1.607	nontarget	12
38.62	1.959	target	11
41.65	0.855	target	11
45.502	1.661	nontarget	12
48.979	0.972	target	11
52.574	1.547	nontarget	12
56.733	0.548	nontarget	12
59.391	0.634	target	11
61.622	1.537	target	11
66.061	1.46	nontarget	12
69.851	1.056	nontarget	12
71.951	1.32	nontarget	12
75.458	1.383	target	11
