onset	duration	trial_type	value
2.0	1.765	nontarget	12
4.789	0.688	target	11
7.044	1.781	target	11
11.46	1.089	target	11
13.998	0.826	nontarget	12
17.234	1.407	nontarget	12
21.387	1.91	nontarget	12
25.429	1.733	target	11
29.352	0.561	target	11
31.678	1.984	target	11
35.921	0.766	nontarget	12
39.501	1.771	target	11
43.24	1.621	nontarget	12
47.462	1.564	nontarget	12
51.955	0.749	target	11
53.853	1.578	nontarget	12
58.318	0.773	target	11
60.444	1.432	nontarget	12
63.882	1.432	target	11
67.748	1.284	target	11
71.664	1.833	target	11
76.134	1.427	nontarget	12
79.624	1.212	target	11
83.539	1.118	target	11
86.909	1.233	target	11
90.248	1.283	target	11
94.266	1.785	nontarget	12
97.843	0.513	nontarget	12
100.782	1.672	target	11
