onset	duration	trial_type	value
2.0	1.061	target	11
5.654	0.778	nontarget	12
8.501	0.747	nontarget	12
11.497	0.891	target	11
14.692	0.734	target	11
16.715	1.599	target	11
19.482	0.736	target	11
22.009	1.947	target	11
25.658	0.893	target	11
28.774	1.061	target	11
32.739	1.433	nontarget	12
35.31	0.711	nontarget	12
38.149	1.196	target	11
41.088	0.693	nontarget	12
43.589	1.731	nontarget	12
47.846	1.816	target	11
51.96	0.546	nontarget	12
55.048	1.067	nontarget	12
58.389	1.844	nontarget	12
62.88	1.813	target	11
66.125	1.812	nontarget	12
