onset	duration	trial_type	value
2.0	1.908	target	11
5.768	1.704	target	11
9.239	1.106	nontarget	12
11.392	0.736	nontarget	12
13.295	1.679	nontarget	12
16.578	0.883	target	11
20.219	1.795	target	11
23.787	1.727	target	11
26.727	1.31	target	11
29.218	0.56	nontarget	12
32.289	0.648	target	11
34.766	0.506	nontarget	12
37.415	1.409	nontarget	12
40.317	0.626	nontarget	12
42.093	1.065	target	11
45.388	1.119	nontarget	12
48.616	0.528	target	11
51.937	0.853	nontarget	12
55.564	0.924	nontarget	12
58.11	1.395	target	11
61.418	1.662	target	11
66.021	1.557	nontarget	12
69.958	1.082	target	11
73.157	1.629	nontarget	12
76.47	0.928	nontarget	12
78.591	1.753	target	11
82.232	1.073	target	11
