onset	duration	trial_type	value
2.0	0.904	go	21
4.186	0.579	nogo	22
7.068	1.124	nogo	22
9.24	1.62	nogo	22
13.576	1.5	nogo	22
16.259	1.076	go	21
20.243	1.124	nogo	22
24.275	1.966	go	21
28.616	1.277	go	21
31.034	0.805	nogo	22
33.651	1.287	go	21
37.254	1.247	nogo	22
40.946	0.544	go	21
43.457	0.859	go	21
46.284	0.525	nogo	22
49.385	0.548	nogo	22
52.628	1.817	nogo	22
55.665	1.018	nogo	22
58.603	1.442	nogo	22
62.583	0.715	nogo	22
65.259	1.764	nogo	22
68.262	1.426	go	21
71.882	1.076	nogo	22
74.198	0.885	nogo	22
76.752	1.718	nogo	22
81.294	0.956	nogo	22
84.548	0.913	go	21
87.013	0.635	go	21
89.944	1.247	go	21
92.346	1.148	go	21
