onset	duration	trial_type	value
2.0	1.279	go	21
5.248	0.64	go	21
7.84	0.88	nogo	22
9.855	1.268	go	21
13.932	1.629	go	21
17.359	0.746	nogo	22
19.15	0.705	go	21
22.268	1.327	go	21
25.102	1.599	go	21
28.497	0.947	nogo	22
31.624	0.736	go	21
35.318	1.171	go	21
39.296	1.483	nogo	22
42.787	1.979	nogo	22
46.516	0.907	nogo	22
48.901	1.907	nogo	22
53.022	1.302	nogo	22
56.524	0.573	go	21
59.124	1.215	go	21
62.345	0.698	nogo	22
65.722	0.754	go	21
68.021	1.457	go	21
71.153	1.661	nogo	22
74.262	0.755	nogo	22
77.496	1.835	nogo	22
80.589	1.112	go	21
82.811	1.111	nogo	22
85.224	1.042	go	21
