onset	duration	trial_type	value
2.0	1.294	nontarget	12
5.389	0.766	nontarget	12
7.645	0.841	target	11
9.74	1.333	target	11
13.758	0.942	nontarget	12
15.945	1.655	nontarget	12
19.687	1.074	target	11
23.529	1.532	nontarget	12
27.772	1.883	nontarget	12
31.305	1.93	target	11
35.338	0.973	nontarget	12
37.869	1.28	nontarget	12
41.326	1.857	target	11
44.363	1.313	target	11
47.006	0.977	target	11
50.172	1.671	nontarget	12
53.246	0.874	target	11
56.858	1.177	target	11
59.41	0.847	target	11
61.404	0.829	nontarget	12
65.212	1.912	nontarget	12
69.921	1.51	target	11
74.08	1.937	target	11
