onset	duration	trial_type	value
2.0	1.839	cue_left	51
6.434	1.456	cue_left	51
8.97	1.931	cue_right	52
12.739	0.701	cue_left	51
14.477	0.567	cue_right	52
17.978	1.418	cue_right	52
22.083	0.592	cue_left	51
23.692	1.578	cue_right	52
27.28	1.761	cue_right	52
31.072	1.903	cue_right	52
35.563	1.825	cue_right	52
39.723	0.983	cue_right	52
43.066	1.137	cue_right	52
46.484	0.922	cue_left	51
50.307	0.755	cue_left	51
52.355	1.609	cue_right	52
54.975	0.804	cue_left	51
58.3	1.087	cue_right	52
61.68	0.919	cue_right	52
65.276	1.093	cue_left	51
68.146	1.851	cue_left	51
72.272	0.952	cue_left	51
75.856	0.699	cue_right	52
77.972	1.395	cue_left	51
82.053	1.265	cue_left	51
