onset	duration	trial_type	value
2.0	1.984	incongruent	32
6.012	1.263	incongruent	32
9.124	0.654	incongruent	32
11.693	1.409	incongruent	32
15.455	1.042	incongruent	32
17.806	0.557	congruent	31
19.944	0.51	congruent	31
22.325	1.717	congruent	31
25.31	1.022	congruent	31
28.099	1.303	incongruent	32
32.042	0.762	congruent	31
35.336	0.668	incongruent	32
37.778	1.487	incongruent	32
42.236	0.995	incongruent	32
46.092	1.104	congruent	31
48.921	0.688	incongruent	32
51.868	1.671	congruent	31
54.685	1.587	incongruent	32
59.205	1.311	incongruent	32
62.271	1.803	incongruent	32
65.389	1.458	congruent	31
69.419	1.559	incongruent	32
72.725	1.15	incongruent	32
75.116	1.989	incongruent	32
79.596	1.549	congruent	31
82.771	0.754	incongruent	32
86.297	1.626	incongruent	32
90.817	1.956	congruent	31
