onset	duration	trial_type	value
2.0	0.951	recall_start	42
5.817	0.718	sequence_presentation	41
8.046	1.646	sequence_presentation	41
11.916	1.864	recall_start	42
16.214	1.918	sequence_presentation	41
20.416	0.985	sequence_presentation	41
22.497	1.723	sequence_presentation	41
26.686	1.646	recall_start	42
29.34	1.302	sequence_presentation	41
32.922	1.619	recall_start	42
36.327	1.952	recall_start	42
39.458	1.98	sequence_presentation	41
43.214	1.586	recall_start	42
47.646	0.513	recall_start	42
50.234	1.921	sequence_presentation	41
53.263	1.079	sequence_presentation	41
