onset	duration	trial_type	value
2.0	1.672	target	11
5.148	1.99	target	11
8.933	1.27	target	11
11.785	1.0	target	11
13.922	1.34	target	11
17.049	0.851	target	11
19.509	1.21	nontarget	12
23.497	1.035	target	11
27.199	1.566	target	11
31.465	0.574	target	11
33.74	1.503	target	11
36.54	0.871	nontarget	12
39.698	1.397	target	11
43.502	1.234	target	11
47.539	1.144	target	11
51.239	1.262	target	11
55.072	1.792	nontarget	12
57.882	0.831	target	11
59.886	1.005	target	11
62.767	0.799	nontarget	12
66.272	0.725	target	11
69.066	1.899	nontarget	12
72.969	1.54	nontarget	12
