onset	duration	trial_type	value
2.0	1.823	nogo	22
6.267	1.196	go	21
9.44	1.402	go	21
12.694	0.512	go	21
15.427	0.778	nogo	22
18.712	0.725	nogo	22
21.302	1.974	go	21
24.532	1.57	go	21
29.044	1.807	nogo	22
33.497	0.982	go	21
36.471	1.597	go	21
40.778	1.77	go	21
44.288	0.905	go	21
47.623	1.739	go	21
50.878	0.95	nogo	22
53.002	1.544	nogo	22
57.003	0.78	nogo	22
60.411	0.944	go	21
64.142	1.527	nogo	22
67.47	1.742	nogo	22
71.359	1.153	nogo	22
75.187	1.041	nogo	22
77.272	1.198	go	21
81.397	0.931	go	21
85.104	1.92	go	21
89.117	0.61	nogo	22
92.007	1.896	go	21
