onset	duration	trial_type	value
2.0	1.031	target	11
5.732	1.62	target	11
8.576	1.593	nontarget	12
11.667	0.594	target	11
14.822	1.77	target	11
17.936	1.121	nontarget	12
21.684	1.304	nontarget	12
24.177	1.091	nontarget	12
27.057	1.885	nontarget	12
30.394	0.744	nontarget	12
32.476	1.526	target	11
35.73	1.516	nontarget	12
39.009	1.668	nontarget	12
42.218	1.444	nontarget	12
46.368	1.045	target	11
50.007	0.58	target	11
52.842	1.974	nontarget	12
56.166	1.688	nontarget	12
59.079	0.736	nontarget	12
62.385	1.615	nontarget	12
65.321	1.281	target	11
69.079	1.106	nontarget	12
72.672	1.598	target	11
76.302	1.464	nontarget	12
79.694	1.124	target	11
