onset	duration	trial_type	value
2.0	0.843	recall_start	42
5.386	1.019	sequence_presentation	41
8.257	1.715	sequence_presentation	41
12.768	0.88	sequence_presentation	41
14.68	1.377	sequence_presentation	41
17.848	1.864	recall_start	42
22.496	0.804	sequence_presentation	41
25.731	0.581	sequence_presentation	41
27.47	1.188	recall_start	42
31.052	1.86	recall_start	42
35.052	1.272	sequence_presentation	41
39.248	1.31	sequence_presentation	41
43.532	1.658	sequence_presentation	41
47.365	1.172	sequence_presentation	41
51.122	1.62	sequence_presentation	41
53.777	1.901	recall_start	42
57.032	0.743	sequence_presentation	41
60.256	0.538	recall_start	42
63.564	1.941	recall_start	42
68.282	1.988	recall_start	42
72.15	0.744	sequence_presentation	41
73.901	1.507	recall_start	42
77.501	1.747	sequence_presentation	41
81.167	1.943	recall_start	42
85.372	0.821	recall_start	42
87.213	1.81	recall_start	42
91.554	1.623	sequence_presentation	41
94.796	1.778	recall_start	42
